Notation ,Description,Variable
"\$n, p, k\$","number of observations, variables, embedding dimension, respectively",
"$\mathbfit{X}, \mathbfit{x}$","$p$-dimensional data (population, sample)",
$\mathbfit{y}$,$k$-dimensional layout,
$P$,"orthonormal basis, generating a $d\text{-}dimensional$ linear projection of $p$-dimensional data",
$T$,true  model,
$g$,"functional mapping from \pD{} to \kD{}, especially as prescribed by NLDR",
$\mathbfit{\theta}$,(Hyper-) parameters for NLDR method,
$r$,ranges of the embedding components,
$C^{(j)}$,$j$-dimensional bin centers,
"$(b_1, b_2)$",number of bins in each direction,"(b1, b2) = bins"
"$(a_1, a_2)$","binwidths, distance between centroids in each direction","a1, a2"
"$(s_1, \ s_2)$",starting coordinates of the hexagonal grid,start_point
$q$,"buffer to ensure hexgrid covers data, proportion of data range, 0-1",q
$m$,number of non-empty bins,m
$b$,number of  hexagons in the grid,b
$h$,hexagonal id,
$l$,side length,
$A$,area,
$n_h$,bin count,
$w_h$,standardised bin counts,
,threshold to extract high density hexagons,hd_thresh
